The Broken Road;Rolling Stones;399;Rock, Blues Rock
Midnight Echo of Shadows;Rolling Stones;202;Rock
Lonely Stars;Rolling Stones;284;Blues Rock
The Sweet Sound;Rolling Stones;389;Rock
Lost River of Night;Rolling Stones;257;Rock, Blues Rock
Broken Sound;Rolling Stones;270;Blues Rock
The Old Stars;Rolling Stones;212;Rock
Silent Journey;Rolling Stones;400;Blues Rock
Sweet River;Rolling Stones;346;Rock
Dancing Dream of Night;Coldplay;402;Alternative, Rock
The New Lights;Coldplay;423;Alternative
Golden Fire;Coldplay;440;Rock
The Midnight Dream;Coldplay;255;Alternative
Lost Road;Coldplay;242;Rock
The Singing Stars;Coldplay;339;Alternative, Rock
Chasing the River;Coldplay;300;Alternative
Golden Song of Day;Coldplay;271;Rock
Silent Road;Coldplay;291;Alternative
Midnight Journey of Shadows;Adele;404;Pop, Soul
The Sweet Soul;Adele;280;Pop
Lonely Heart;Adele;282;Soul
The Lost Dream;Adele;475;Pop
Falling Stars;Adele;410;Soul
The Silent Sound;Adele;315;Pop, Soul
Whispering Echo;Adele;220;Soul
Sweet Fire;Adele;360;Pop
Broken Dream of Sky;Adele;233;Soul
The Midnight Sky;The Weeknd;470;R&B, Electronic
Sweet Echo of Night;The Weeknd;301;Pop, R&B
Bright Heart;The Weeknd;442;Electronic
The Lost Soul;The Weeknd;228;R&B
Lonely Dream;The Weeknd;395;Pop
Whispering Road;The Weeknd;400;Electronic
Electric Heart;The Weeknd;308;R&B
The Dancing Echo;The Weeknd;418;Pop
Burning Stars;The Weeknd;339;Electronic
The Golden Echo;Metallica;434;Metal, Thrash Metal
Midnight Fire;Metallica;261;Metal
Lonely Dream of River;Metallica;326;Thrash Metal
The Silent Sound;Metallica;256;Metal
Broken Heart;Metallica;466;Thrash Metal
The Lost Road;Metallica;451;Metal
Wild Fire;Metallica;418;Thrash Metal
Burning Dream;Metallica;316;Metal
Dark Heart of Sound;Metallica;377;Thrash Metal
Lost Echo;Metallica;356;Metal
The Chasing Sky;Linkin Park;266;Alternative, Nu Metal
Whispering Shadows;Linkin Park;276;Nu Metal
Lonely Echo;Linkin Park;294;Alternative
The Midnight Road;Linkin Park;316;Nu Metal
Broken Dream;Linkin Park;209;Alternative
Wild Heart;Linkin Park;265;Nu Metal
The Dancing Dream;Linkin Park;256;Alternative, Nu Metal
Bright Stars of Sky;Linkin Park;301;Nu Metal
Burning Echo;Linkin Park;477;Alternative
The Midnight River;Daft Punk;425;Electronic, House
Electric Sound;Daft Punk;276;House, Disco
Golden Fire;Daft Punk;326;Electronic
The Silent Night;Daft Punk;205;House
